Reference,Category,delta15N-N2O,"Site Preference (SP), defined either as [delta15N_alpha - delta15N_beta] or [15R_alpha/15R_beta - 1], where alpha is the central N atom and beta is the terminal N atom in the assymetric N-N-O molecule",delta18O-N2O,Site description,Surface flux and near-surface data subset
This study,Groundwater,-20.6,,39.4,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-22.8,,32.7,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-20.6,,30.4,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-21.5,,35.1,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-32.1,,39.7,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-21.6,,32.2,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-22.5,,39.6,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-22.4,,35.4,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-19.1,,52.3,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-10,,57.3,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-17.4,,61.5,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-14.3,,61,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-49.3,,35.2,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-19.2,,48.8,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-15.2,,44.6,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-13,,38.5,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-12.4,,28.1,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-10.6,,37.8,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-19.5,,24.6,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,9.4,,7.5,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-28.6,,34.6,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-17.6,,26.7,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-7,,47.1,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-23.3,,40.8,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-16.7,,59.5,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-7.2,,59.7,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-16.6,,52.8,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-20.3,,45.3,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-18.5,,45.2,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,22.3,,70,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,4.3,,71.3,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-9.2,,55.4,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,15.1,,56.5,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-8.9,,43.8,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-18.4,,53.5,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,2.5,,47.5,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-9.7,,55.5,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-16.2,,64.4,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-25.7,,50.2,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-28.7,,44.8,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-16.2,,72,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-13.4,,66.3,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-26.6,,55.6,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-26.6,,57.3,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-24,,64.1,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-18.5,,71.1,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-11.7,,70.6,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-22.4,,56.7,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-24.8,,57.3,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-19,,59.8,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-17.4,,54.8,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-25.2,,61.6,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-25.6,,42.5,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-25.3,,56.6,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,0.7,,36.6,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,3.4,,36,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,2.9,,36.8,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-3.6,,47.9,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,3.1,,47.2,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-9.8,,46.5,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-19.8,,48,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-11.1,,55.3,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,1.9,,49.5,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-1,,58.1,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-15.9,,60.7,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,4.1,,50.5,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,8.5,,47.5,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-22.9,,45.3,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-32.2,,30.6,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-18.1,,48.6,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-4,,98.8,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-14.2,,68.1,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-18.8,,54.3,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-19.4,,59.5,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-19.6,,68,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-21.4,,57.7,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-24.9,,60.9,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-23.4,,66.6,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-22.1,,66.3,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-12.8,,59,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,0.4,,36.9,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-24.4,,58.9,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-26.6,,70.9,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-15.3,,56.1,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-24.2,,60.2,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-19.1,,69.7,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-15.2,,72.9,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-3.5,,46.4,Putnam_Ontario_Canada_groundwater downgradient of manure composting facility_1 to 4 m depth_September 2006 and June 2008,n/a
This study,Groundwater,-0.6,,37.7,Strathroy_Ontario_Canada_agricultural groundwater_3 to 7 m depth_October 2009,n/a
This study,Groundwater,-3.3,,33,Strathroy_Ontario_Canada_agricultural groundwater_3 to 7 m depth_October 2009,n/a
This study,Groundwater,1.7,,37.8,Strathroy_Ontario_Canada_agricultural groundwater_3 to 7 m depth_October 2009,n/a
This study,Groundwater,-29.7,,48.5,Strathroy_Ontario_Canada_agricultural groundwater_3 to 7 m depth_October 2009,n/a
This study,Groundwater,-7.4,,65,Strathroy_Ontario_Canada_agricultural groundwater_3 to 7 m depth_October 2009,n/a
This study,Groundwater,-35.1,,18.9,Turkey Lakes Watershed_Ontario_Canada_shallow groundwater below temperate forest wetland_0.4 m depth_October 2005,n/a
This study,Groundwater,-15.4,,30.7,Woodstock_Ontario_Canada_agricultural groundwater_4 to 15 m depth_July 2009,n/a
This study,Groundwater,-15.1,,33.4,Woodstock_Ontario_Canada_agricultural groundwater_4 to 15 m depth_July 2009,n/a
This study,Groundwater,-15.9,,33.6,Woodstock_Ontario_Canada_agricultural groundwater_4 to 15 m depth_July 2009,n/a
This study,Groundwater,-15.1,,34,Woodstock_Ontario_Canada_agricultural groundwater_4 to 15 m depth_July 2009,n/a
This study,Groundwater,-4.7,,37.1,Woodstock_Ontario_Canada_agricultural groundwater_4 to 15 m depth_July 2009,n/a
This study,Groundwater,-15.1,,32.7,Woodstock_Ontario_Canada_agricultural groundwater_4 to 15 m depth_July 2009,n/a
This study,Groundwater,-14.9,,33.3,Woodstock_Ontario_Canada_agricultural groundwater_4 to 15 m depth_July 2009,n/a
This study,Groundwater,-14.1,,34.7,Woodstock_Ontario_Canada_agricultural groundwater_4 to 15 m depth_July 2009,n/a
This study,Groundwater,-14.9,,34.5,Woodstock_Ontario_Canada_agricultural groundwater_4 to 15 m depth_July 2009,n/a
This study,Groundwater,-14.5,,34.3,Woodstock_Ontario_Canada_agricultural groundwater_4 to 15 m depth_July 2009,n/a
This study,Groundwater,-14.6,,34.5,Woodstock_Ontario_Canada_agricultural groundwater_4 to 15 m depth_July 2009,n/a
This study,Soil,-30.1,,21.3,Elora_Ontario_Canada_agricultural soil_profile_March to June 2012,yes
This study,Soil,-26.5,,21.8,Elora_Ontario_Canada_agricultural soil_profile_March to June 2012,yes
This study,Soil,-16.9,,20.3,Elora_Ontario_Canada_agricultural soil_profile_March to June 2012,yes
This study,Soil,-25.1,,20.6,Elora_Ontario_Canada_agricultural soil_profile_March to June 2012,yes
This study,Soil,-13,,19.7,Elora_Ontario_Canada_agricultural soil_profile_March to June 2012,yes
This study,Soil,-12.8,,19.8,Elora_Ontario_Canada_agricultural soil_profile_March to June 2012,yes
This study,Soil,-12.1,,19.3,Elora_Ontario_Canada_agricultural soil_profile_March to June 2012,yes
This study,Soil,-12.7,,18.9,Elora_Ontario_Canada_agricultural soil_profile_March to June 2012,yes
This study,Soil,-39.1,,21.9,Elora_Ontario_Canada_agricultural soil_profile_March to June 2012,yes
This study,Soil,-30.2,,23.2,Elora_Ontario_Canada_agricultural soil_profile_March to June 2012,yes
This study,Soil,-11.6,,21.9,Elora_Ontario_Canada_agricultural soil_profile_March to June 2012,yes
